trip,yyyy,mm,dd,rhtimei,plantID,fam,gen,epi,ssp,spcod,mtime,rhtimef,ltype,scan,nleaf,nlunit,npet,muf,mup,cii,ef,ttype,td,tl,tmu,tv,tdm,ldm,pdm,prob,checkID
9,2017,9,15,1530,113400,Sapotaceae,Pouteria,macrophylla,,SAPO_Poumac,3734,2204,simple,ok,3,3,3,777,74,1,154,branch,421,93,162,147,64,317,20,,
9,2017,9,15,1530,113410,,,,,,3908,2378,simple,ok,5,5,5,861,54,1,164,branch,370,90,123,109,67,399,20,qr,yes
9,2017,9,15,1530,113421,Sapotaceae,Chromolucuma,rubriflora,,SAPO_Chrrub,3721,2191,simple,ok,3,3,3,943,46,1,181,branch,589,87,259,245,114,380,12,,
9,2017,9,15,1530,113424,Annonaceae,Ephedranthus,amazonicus,,ANNO_Ephama,3844,2314,simple,ok,5,5,5,750,42,1,236,branch,829,92,594,518,351,384,17,,
9,2017,9,15,1530,113425,Burseraceae,Protium,strumosum,,BURS_Prostr,3724,2194,compound,ok?,1,,1,511,127,1,132,branch,790,95,523,507,298,270,57,,ok
9,2017,9,15,1530,113440,Ochnaceae,Ouratea,leprieuri,,OCHN_Ourlep,3827,2297,simple,ok,7,7,7,375,15,1,177,branch,349,91,103,91,57,207,7,,
9,2017,9,15,1530,113455,Malvaceae,Theobroma,subincanum,,MALV_Thesub,3820,2290,simple,ok,4,4,4,1320,142,1.25,214,branch,687,81,338,323,133,636,35,trait,
9,2017,9,15,1530,113460,Lecythidaceae,Eschweilera,bracteosa,,LECY_Escbra,3835,2305,simple,ok,5,5,5,1677,84,1,187,branch,483,83,170,150,89,833,42,,ok
9,2017,9,15,1530,113461,Sapotaceae,Pouteria,freitasii,,SAPO_Poufre,3813,2283,simple,ok,7,7,7,669,43,1,197,branch,457,101,218,186,132,390,17,,
9,2017,9,15,1530,113462,Burseraceae,Protium,guianense,guianense,BURS_Progui,3744,2214,compound,ok?,2,,2,264,40,1.25,161,branch,690,97,394,383,241,137,18,,ok
9,2017,9,15,1530,113469,Malvaceae,Theobroma,subincanum,,MALV_Thesub,3704,2174,simple,ok,2,2,2,393,30,1,172,branch,317,53,51,47,15,168,7,,
9,2017,9,14,1335,113507,Lecythidaceae,Eschweilera,truncata,,LECY_Esctru,3326,1991,simple,"ok, but image 001 unnamed",5,5,5,735,26,1,196,branch,538,96,309,270,166,345,11,qr,
9,2017,9,14,1335,113512,Violaceae,Amphirrhox,longifolia,,VIOL_Amplon,3337,2002,simple,ok,5,5,5,778,71,1,183,branch,486,102,236,209,124,314,25,,
9,2017,9,14,1335,113515,Burseraceae,Protium,pilosissimum,,BURS_Propil,3346,2011,compound,"ok?, but image 001 unnamed",2,,2,194,29,1,138,branch,370,94,148,128,81,107,11,,ok
9,2017,9,14,1335,113517,Chrysobalanaceae,Hirtella,physophora,,CHRY_Hirphy,3211,1876,simple,ok,5,5,5,952,45,1,106,branch,NA,NA,NA,NA,NA,383,13,q,ok
9,2017,9,14,1335,113518,Lauraceae,Aniba,terminalis,,LAUR_Aniter,3333,1998,simple,ok,5,5,5,854,79,1,215,branch,742,102,503,475,270,395,26,,
9,2017,9,14,1335,113520,Quiinaceae,Quiina,negrensis,,QUII_Quineg,3344,2009,simple,ok,6,6,6,278,8,1.5,181,branch,393,99,161,133,93,152,5,,
9,2017,9,14,1335,113528,Ochnaceae,Ouratea,discophora,,OCHN_Ourdis,3303,1968,simple,ok,3,3,3,1545,77,1,294,branch,526,91,263,243,139,703,29,,
9,2017,9,14,1335,113541,Boraginaceae,Cordia,sp.9.FITO,,BORA_Corsp9,3207,1872,simple,ok,2,2,2,1823,87,1,285,branch,646,115,383,431,137,606,16,,ok
9,2017,9,14,1335,113548,,,,,,3150,1815,simple,ok,2,2,2,1812,174,1.5,202,branch,934,93,677,663,300,784,52,,yes
9,2017,9,14,1335,113571,Sapotaceae,Chrysophyllum,amazonicum,,SAPO_Chrama,3147,1812,simple,ok,2,2,2,2092,308,1,219,branch,974,98,670,705,352,913,90,arch,
9,2017,9,14,1335,113580,Sapotaceae,Chrysophyllum,pomiferum,,SAPO_Chrpom,3250,1915,simple,ok,5,5,5,837,51,1,226,branch,528,93,239,210,116,357,17,,
9,2017,9,14,1335,113598,Lauraceae,Ocotea,cujumary,,LAUR_Ococuj,3226,1891,simple,ok,7,7,7,676,30,1.25,205,branch,NA,NA,NA,NA,NA,347,15,,ok
9,2017,9,14,1335,113614,Euphorbiaceae,Aparisthmium,cordatum,,EUPH_Apacor,3141,1806,simple,ok,2,2,2,351,78,1,153,branch,NA,NA,NA,NA,NA,156,24,trait,
9,2017,9,14,1335,113617,Rubiaceae,Margaritopsis,cephalantha,,RUBI_Marcep,3319,1984,simple,ok,10,10,10,586,34,1,200,branch,547,100,324,297,163,220,9,,
9,2017,9,14,1335,113621,Fabaceae,Inga,grandiflora,Forma B PP,FABA_Inggrn-B,3359,2024,compound,ok?,1,,1,1191,231,1,185,branch,539,95,327,291,160,460,84,arch;light,ok
9,2017,9,14,1335,113624,Lauraceae,Aniba,williamsii,,LAUR_Aniwil,3247,1912,simple,ok,5,5,5,776,44,1,216,branch,725,99,457,427,216,309,12,,yes
9,2017,9,14,1335,113649,Violaceae,Amphirrhox,longifolia,,VIOL_Amplon,3300,1965,simple,ok,5,5,5,1096,53,1,236,branch,559,103,319,292,155,399,19,qr,
9,2017,9,14,1335,113654,Olacaceae,Minquartia,guianensis,verde MV,OLAC_Mingui-V,3223,1888,simple,ok,6,6,6,229,12,1,163,branch,400,75,141,118,77,102,3,,ok
9,2017,9,14,1335,113668,Myrtaceae,Myrcia,rufipila,,MYRT_Myrruf,3352,2017,simple,ok,15,15,15,236,6,1,233,branch,370,97,165,133,105,101,2,,ok
9,2017,9,14,1335,113670,Lauraceae,Rhodostemonodaphne,sp.1.FITO,,LAUR_Rhosp1,3216,1881,simple,ok,5,5,5,836,54,1,200,branch,NA,NA,NA,NA,NA,353,16,,
9,2017,9,14,1335,113681,Lauraceae,Ocotea,cujumary,,LAUR_Ococuj,3213,1878,simple,"ok, but image 001 was unnamed",5,5,5,576,22,1,201,branch,NA,NA,NA,NA,NA,276,12,,ok
9,2017,9,14,1335,113686,Fabaceae,Swartzia,recurva,,FABA_Swarec,3231,1896,compound,image 001 missing,1,,2,810,202,1,185,branch,NA,NA,NA,NA,NA,377,97,,ok
9,2017,9,14,1335,113692,Moraceae,Perebea,mollis,serrilhada PP,MORA_Permol,3242,1907,simple,ok,5,5,5,1100,45,2,173,branch,815,103,431,486,216,465,9,,
9,2017,9,14,1335,113696,Sapotaceae,Pouteria,sp.9.FITO,,SAPO_Pousp9,3212,1877,simple,ok,5,5,5,766,48,1.5,163,branch,NA,NA,NA,NA,NA,292,14,,
9,2017,9,14,1335,113700,Sapotaceae,Manilkara,sp.2.FITO,,SAPO_Mansp2,3239,1904,simple,ok,3,3,3,443,42,1.5,251,branch,636,102,356,325,193,193,14,,
9,2017,9,14,1335,113701,Annonaceae,Annona,foetida,,ANNO_Annfoe,3339,2004,simple,ok,5,5,5,434,22,1.25,225,branch,570,99,281,277,120,186,8,light,
9,2017,9,14,1335,113702,Myrtaceae,Eugenia,tapacumensis,,MYRT_Eugtap,3305,1970,simple,ok,5,5,5,1413,77,1.5,258,branch,674,111,470,415,233,610,28,,
9,2017,9,14,1335,113715,Anacardiaceae,Anacardium,parvifolium,,ANAC_Anapar,3325,1990,simple,ok,5,5,5,407,34,1.25,142,branch,466,92,173,160,86,193,11,,
9,2017,9,14,1335,113716,Anacardiaceae,Anacardium,parvifolium,,ANAC_Anapar,3316,1981,simple,ok,5,5,5,588,22,1.25,153,branch,644,101,399,372,172,274,10,,yes
9,2017,9,14,1335,113721,Humiriaceae,Vantanea,guianensis,,HUMI_Vangui,3221,1886,simple,ok,3,3,3,389,8,1.5,157,branch,NA,NA,NA,NA,NA,173,3,,yes
9,2017,9,14,1335,113749,Lauraceae,Aniba,megaphylla,,LAUR_Animeg,3310,1975,simple,ok,5,5,5,468,19,1.75,209,branch,944,95,656,643,344,183,6,,
9,2017,9,14,1335,113763,Lecythidaceae,Eschweilera,pedicellata,,LECY_Escped,3355,2020,simple,ok,6,6,6,339,14,1.25,178,branch,396,93,155,137,77,144,5,,
9,2017,9,14,1335,113765,Violaceae,Rinoreocarpus,ulei,,VIOL_Rinule,3314,1979,simple,ok,5,5,5,500,14,1.25,160,branch,686,99,470,398,249,148,4,,
9,2017,9,14,1335,113766,Lecythidaceae,Eschweilera,coriacea,,LECY_Esccor,3330,1995,simple,ok,5,5,5,887,50,1.25,184,branch,577,100,329,292,157,381,19,,
9,2017,9,22,1530,117632,NA,NA,NA,,NA_NANA,4023,2493,compound,ok?,4,,4,193,11,1.25,131,branch,212,79,41,35,24,90,5,rgr,yes
8,2017,8,16,1315,120339,Sapindaceae,Talisia,mollis,,SAPI_Talmol,11616,10301,compound,ok?,0.5,,1,714,464,1,243,branch,NA,NA,NA,NA,NA,398,245,,ok
8,2017,8,16,1315,120340,Fabaceae,Indet,sp.13.FITO,,FABA_Inds13,11417,10102,compound,ok?,0.5,,1,727,580,1,119,branch,NA,NA,NA,NA,NA,347,226,qr;rgr,YES
8,2017,8,16,1315,120344,Anacardiaceae,Anacardium,parvifolium,,ANAC_Anapar,11546,10231,simple,ok,5,5,5,982,73,1,131,branch,520,119,297,278,157,464,27,,
8,2017,8,16,1315,120494,Burseraceae,Protium,tenuifolium,var.1 FITO,BURS_Proten-1,10657,9342,odd-pinnate,ok?,1,,1,513,105,1,138,branch,613,87,305,292,194,285,54,,ok
8,2017,8,16,1315,120495,Fabaceae,Inga,capitata,,FABA_Ingcap,11603,10288,simple,ok,5,5,5,1608,72,1,205,branch,511,97,233,220,113,794,31,qr;light;arch,YES
8,2017,8,16,1315,120499,Sapotaceae,Pouteria,retinervis,,SAPO_Pouren,9143,7828,simple,ok,4,4,4,896,71,1,192,branch,443,91,181,171,76,365,24,,
8,2017,8,16,1315,120579,Rubiaceae,Cordiera,myrciifolia,,RUBI_Cormyr,10724,9409,simple,ok,10,10,10,443,16,1,184,branch,492.5,94,232,194,154,224,7,,
8,2017,8,16,1315,120586,Meliaceae,Trichilia,schomburgkii,,MELI_Trisch,11242,9927,compound,"ok?, but image has wrong id (111586)",0.5,,1,862,335,2,192,branch,790,96,503,480,252,372,146,,ok
8,2017,8,16,1315,120767,Sapotaceae,Pouteria,retinervis,,SAPO_Pouren,11401,10086,simple,ok,3,3,3,402,39,1.5,209,branch,NA,NA,NA,NA,NA,164,12,qr;rgr,
8,2017,8,16,1315,120769,Sapindaceae,Talisia,cerasina,,SAPI_Talcer,11627,10312,compound,ok?,0.5,,1,756,447,2,167,branch,NA,NA,NA,NA,NA,400,265,,
8,2017,8,16,1315,120770,Elaeocarpaceae,Sloanea,schomburgkii,,ELAE_Slosch,9213,7898,simple,ok,5,5,5,1173,101,1.25,189,branch,NA,NA,NA,NA,NA,690,56,qr,
8,2017,8,16,1315,120771,Sapindaceae,Cupania,sp.1/rubiginosa/scrobicula.PFRD,,SAPI_Cupsrs,11634,10319,compound,ok?,0.5,,1,961,703,1.75,222,branch,822,101,616,553,312,420,278,,ok
8,2017,8,16,1315,120772,Fabaceae,Inga,sp.30.FITO,,FABA_Ings30,9250,7935,even-pinnate,ok?,1,,1,603,204,2,180,branch,NA,NA,NA,NA,NA,273,80,,
8,2017,8,16,1315,120776,Rubiaceae,Duroia,macrophylla,,RUBI_Durmac,10538,9223,simple,ok,2,2,2,1711,264,1,252,branch,NA,NA,NA,NA,NA,670,77,,ok
10,2017,10,6,1500,121957,Moraceae,Brosimum,sp.1.PP,,MORA_Brosp1,3944,2444,simple,ok,15,15,15,482,9,1,176,branch,441,93,162,147,98,178,3,,
10,2017,10,6,1500,122049,Moraceae,Brosimum,rubescens,,MORA_Brorub,4021,2521,simple,ok,10,10,10,349,9,1,194,branch,495,96,182,172,114,146,3,,ok
10,2017,10,6,1500,122068,Sapotaceae,Pouteria,fimbriata,,SAPO_Poufim,4043,2543,simple,"ok, but image 002 had wrong id (122086)",5,5,5,442,44,1.25,121,branch,319,87,94,92,46,172,12,,
10,2017,10,6,1500,122146,Euphorbiaceae,Pausandra,macropetala,,EUPH_Paumac,4025,2525,simple,ok,2,2,2,1426,109,2.5,197,branch,972,91,764,707,336,672,39,,ok
10,2017,10,6,1500,122158,Melastomataceae,Mouriri,trunciflora,,MELA_Moutru,4017,2517,simple,ok,10,10,10,573,10,2.5,188,branch,276,93,72,59,44,237,4,,
10,2017,10,6,1500,122172,Siparunaceae,Siparuna,sarmentosa,,SIPA_Sipsar,3934,2434,simple,ok,6,6,6,1124,84,3.5,256,branch,472,78,134,120,65,386,28,,
9,2017,9,14,1530,122498,Sapindaceae,Toulicia,guianensis/pulvinata PP,,SAPI_Tougui,3529,1999,compound,ok?,0.5,,1,833,489,1,140,branch,NA,NA,NA,NA,NA,374,227,,ok
9,2017,9,14,1530,122499,Boraginaceae,Cordia,nodosa,,BORA_Cornod,3314,1784,simple,ok,5,5,5,1387,36,1,177,branch,394,88,124,135,39,511,8,,yes
9,2017,9,14,1530,122508,Fabaceae,Zygia,juruana,,FABA_Zygjur,3427,1897,bipinnate,ok?,1,,1,836,143,1.5,175,branch,444,95,183,162,113,372,64,,
9,2017,9,14,1530,122513,Fabaceae,Inga,sp.11.FITO,,FABA_Ings11,3451,1921,compound,ok?,3,,3,885,43,1.25,267,branch,630,101,371,344,228,363,17,trait,ok
9,2017,9,14,1530,122518,Moraceae,Brosimum,sp.3.FITO,,MORA_Brosp3,3439,1909,simple,ok,5,5,5,493,16,1.25,147,branch,413,96,162,142,93,251,4,,
9,2017,9,14,1530,122532,Melastomataceae,Miconia,regelii,,MELA_Micreg,3419,1889,simple,ok,5,5,5,195,11,1,188,branch,576,94,322,272,195,91,5,,
9,2017,9,14,1530,122538,Rubiaceae,Ixora,intensa,,RUBI_Ixoint,3436,1906,simple,ok,5,5,5,1669,139,1,253,branch,560,96,312,269,177,904,67,,ok
9,2017,9,14,1530,122551,Fabaceae,Swartzia,reticulata,,FABA_Swaret,3508,1978,compound,ok?,1,,1,1436,433,1,181,branch,NA,NA,NA,NA,NA,520,160,qr,
9,2017,9,14,1530,122555,Lauraceae,Ocotea,sp.8.PP,,LAUR_Ocosp8,3425,1895,simple,ok,10,10,10,283,12,1.25,159,branch,465,99,192,196,104,138,4,,
9,2017,9,14,1530,122559,Salicaceae,Casearia,javitensis,,SALI_Casjav,3318,1788,???,ok?,5,,5,314,12,1,147,branch,230,83,50,42,24,168,5,,
9,2017,9,14,1530,122566,Rubiaceae,Ixora,intensa,,RUBI_Ixoint,3459,1929,simple,ok,5,5,5,696,36,1,216,branch,354,90,116,100,66,371,18,,ok
9,2017,9,14,1530,122580,Myrtaceae,Eugenia,feijoi,,MYRT_Eugfei,3505,1975,simple,ok,8,8,8,223,5,1,149,branch,373,97,137,114,81,104,3,trait,
9,2017,9,14,1530,122615,Dichapetalaceae,Tapura,guianensis,,DICH_Tapgui,3342,1812,simple,ok,5,5,5,860,36,1.25,317,branch,655,102,427,400,214,286,11,,
9,2017,9,14,1530,122624,Burseraceae,Protium,strumosum,,BURS_Prostr,3517,1987,compound,ok?,1,,1,254,71,1.5,114,branch,439,88,181,156,87,142,31,trait,ok
9,2017,9,14,1530,122626,Lecythidaceae,Eschweilera,bracteosa,,LECY_Escbra,3433,1903,simple,ok?,10,10,10,535,22,1,155,branch,595,95,341,308,184,NA,NA,,
9,2017,9,14,1530,122651,Moraceae,Brosimum,guianense,,MORA_Brogui,3412,1882,simple,ok,10,10,10,183,7,1,126,branch,481,95,197,184,113,87,2,,
9,2017,9,14,1530,122656,Malvaceae,Scleronema,micranthum,,MALV_Sclmic,3340,1810,simple,ok,5,5,5,725,140,1,182,branch,529,86,216,193,105,318,45,,
9,2017,9,14,1530,122658,Chrysobalanaceae,Couepia,guianensis,guianensis,CHRY_Cougui,3356,1826,simple,ok,7,7,7,354,13,1,149,branch,504,99,243,211,144,173,5,,ok
9,2017,9,15,1530,122671,Lauraceae,Ocotea,nigrescens,,LAUR_Oconig,3444,1914,simple,ok,10,10,10,329,11,1,174,branch,365,94,135,116,70,151,5,qr,ok
9,2017,9,15,1530,122672,Fabaceae,Tachigali,myrmecophila,,FABA_Tacmyr,3521,1991,compound,ok?,0.5,,1,1221,414,1,199,branch,NA,NA,NA,NA,NA,489,183,,
9,2017,9,15,1530,122680,Lauraceae,Ocotea,cujumary,,LAUR_Ococuj,3515,1985,simple,ok,6,6,6,460,21,1,178,branch,372,93,109,117,64,242,11,,ok
9,2017,9,15,1530,122690,Lauraceae,Ocotea,boissieriana,,LAUR_Ocoboi,3321,1791,simple,ok,5,5,5,386,14,1,178,branch,226,90,54,49,23,167,4,,
9,2017,9,15,1530,122693,Lauraceae,Ocotea,aff.pauciflora.PFRD,,LAUR_Ocoaff,3408,1878,simple,ok,8,8,8,525,35,1,216,branch,567,93,317,291,176,266,16,,
9,2017,9,15,1530,122701,Rubiaceae,Psychotria,sp.3.FITO,A PP,RUBI_Psysp3-A,3401,1871,simple,ok,6,6,6,786,33,1.25,176,branch,532,96,277,252,103,300,8,,
9,2017,9,15,1530,122705,Burseraceae,Protium,hebetatum,forma B FITO,BURS_Proheb-B,3446,1916,compound,ok?,0.5,,1,208,139,1.25,140,branch,862,99,664,650,364,123,70,trait,
9,2017,9,15,1530,122721,Annonaceae,Duguetia,manausensis,,ANNO_Dugman,3307,1777,simple,ok,5,5,5,830,37,1,182,branch,324,89,101,94,32,371,10,trait,
9,2017,9,14,1530,122731,Fabaceae,Swartzia,reticulata,,FABA_Swaret,3526,1996,compound,ok?,0.5,,1,642,330,1.5,203,branch,597,106,369,326,215,230,129,,
9,2017,9,15,1530,122745,Apocynaceae,Aspidosperma,carapanauba,Forma B PP,APOC_Aspcar,3329,1799,simple,ok,5,5,5,1918,52,1,271,branch,619,93,343,301,197,833,17,,ok
9,2017,9,15,1530,122751,Humiriaceae,Sacoglottis,mattogrossensis,subintegra,HUMI_Sacmat,3351,1821,simple,ok,10,10,10,407,6,1,183,branch,622,94,394,338,248,183,3,,
9,2017,9,14,1530,122753,Quiinaceae,Quiina,paraensis,,QUII_Quipar,3340,1810,simple,ok,5,5,5,992,45,1.5,235,branch,410,93,161,137,96,515,21,,
8,2017,8,22,1335,122757,Clusiaceae,Tovomita,sp.2.FITO,,CLUS_Tovsp2,6622,5287,simple,ok,5,5,5,814,57,1.25,254,branch,612,101,349,292,196,303,17,,ok
9,2017,9,15,1530,122758,Salicaceae,Casearia,javitensis,,SALI_Casjav,3337,1807,simple,ok,6,6,6,955,70,1.5,151,branch,616,94,332,300,177,404,19,,
8,2017,8,22,1335,122759,Violaceae,Rinorea,racemosa,,VIOL_Rinrac,6859,5524,simple,ok,5,5,5,568,35,1.5,157,branch,510,96,240,205,127,242,12,,
8,2017,8,22,1335,122762,Burseraceae,Tetragastris,panamensis,,BURS_Tetpan,3459,2124,simple,"ok, but image 002 had wrong id (12762)",1,1,2,353,216,1.25,142,branch,890,91,629,559,376,185,104,,ok
8,2017,8,22,1335,122774,Lauraceae,Mezilaurus,duckei,,LAUR_Mezduc,6902,5567,simple,ok,2,2,2,679,33,1,177,branch,708,92,446,384,252,349,13,,
8,2017,8,22,1335,122776,Fabaceae,Swartzia,reticulata,,FABA_Swaret,3801,2466,compound,ok?,1,,2,867,543,1.25,210,branch,454,83,228,198,119,383,240,trait,
8,2017,8,22,1335,122782,Malvaceae,Scleronema,micranthum,,MALV_Sclmic,6919,5584,simple,ok,4,4,4,659,155,1,155,branch,547,85,247,226,116,263,49,,
9,2017,9,15,1530,122785,Myristicaceae,Virola,calophylla,calophylloidea,MYRI_Vircal,3407,1877,simple,"ok, but image 001 with wrong id (12785)",5,5,5,1488,60,1,223,branch,460,103,240,240,125,592,16,,
9,2017,9,15,1530,122794,Lauraceae,Aniba,terminalis,,LAUR_Aniter,3334,1804,simple,ok,5,5,5,760,66,1.25,192,branch,654,90,366,347,191,346,24,trait,
9,2017,9,14,1530,126547,Olacaceae,Minquartia,guianensis,verde MV,OLAC_Mingui-V,3416,1886,simple,ok,5,5,5,904,60,1.5,187,branch,491,87,185,161,99,434,20,rgr,ok
8,2017,8,22,1335,132285,Rubiaceae,Palicourea,corymbifera/virens PP,,RUBI_Palcov,6907,5572,simple,ok,5,5,5,540,31,1,131,branch,474,90,190,168,83,236,9,,
8,2017,8,22,1335,132286,Lecythidaceae,Eschweilera,grandiflora,,LECY_Escgra,6917,5582,simple,ok,2,2,2,531,37,1,174,branch,597,89,335,292,177,263,15,,
8,2017,8,23,1335,132290,Meliaceae,Trichilia,pleeana,,MELI_Triple,3734,2399,compound,ok?,0.5,,1,852,343,1,196,branch,329,98,112,98,53,376,149,,
8,2017,8,22,1335,132296,Myrtaceae,Eugenia,ramiflora,,MYRT_Eugram,6759,5424,simple,ok,10,10,10,428,16,1,155,branch,446,83,165,138,100,231,7,,
8,2017,8,22,1335,132301,Moraceae,Sorocea,muriculata,muriculata,MORA_Sormur-m,3550,2215,simple,ok,10,10,10,567,7,1,155,branch,451,73,147,127,72,266,0,,yes
8,2017,8,22,1335,132302,Nyctaginaceae,Neea,sp.7.FITO,,NYCT_Neesp7,3530,2195,simple,ok,5,5,5,1748,75,1,401,branch,474,82,155,146,65,460,19,qr;rgr;mstem,
8,2017,8,22,1335,132304,Sapotaceae,Pouteria,jariensis,,SAPO_Poujar,3536,2201,simple,"ok, but image 001 with wrong id (13230)",5,5,5,612,35,1,203,branch,548,94,250,220,148,266,11,,
8,2017,8,22,1335,132307,Burseraceae,Tetragastris,panamensis,,BURS_Tetpan,3502,2167,compound,ok?,1,,2,390,188,1,172,branch,384,46,74,66,34,204,89,,ok
8,2017,8,23,1335,132320,Burseraceae,Protium,,,,3737,2402,odd-pinnate,ok?,1,,1,194,45,1,124,branch,286,84,75,63,40,108,21,,yes
8,2017,8,22,1335,132322,Elaeocarpaceae,Sloanea,sp.9.FITO,,ELAE_Slosp9,3559,2224,simple,ok,5,5,5,861,79,1,130,branch,410,82,144,127,64,414,25,qr,ok
8,2017,8,22,1335,132323,Burseraceae,Protium,aracouchini,,BURS_Proara,3932,2597,odd-pinnate,ok?,1,,1,242,29,1,160,branch,597,94,362,309,229,118,12,rgr,
8,2017,8,22,1335,132503,Sapotaceae,Pouteria,erythrochrysa,,SAPO_Pouery,6804,5469,simple,ok,7,7,7,364,21,1,163,branch,602,97,355,306,207,177,7,,
8,2017,8,22,1335,132504,Lauraceae,Ocotea,nigrescens,,LAUR_Oconig,3545,2210,simple,ok,10,10,10,465,17,1,176,branch,397,101,127,118,65,216,9,qr,
8,2017,8,22,1335,132508,Moraceae,Naucleopsis,caloneura,não escabra PP,MORA_Naucal-n,6815,5480,simple,ok,5,5,5,985,42,1,228,branch,576,97,269,252,125,446,15,trait,ok
8,2017,8,22,1335,132511,Sapindaceae,Talisia,cerasina,,SAPI_Talcer,3729,2394,compound,ok?,0.5,,1,637,291,1.25,165,branch,NA,NA,NA,NA,NA,350,169,,
8,2017,8,22,1335,132514,Sapotaceae,Pouteria,filipes,,SAPO_Poufil,3607,2272,simple,ok,6,6,6,1034,59,1,218,branch,409,93,181,155,103,521,26,,yes
8,2017,8,22,1335,132516,Violaceae,Rinorea,amapensis,,VIOL_Rinama,6850,5515,simple,ok,9,9,9,463,19,1.25,208,branch,530,92,286,244,153,188,6,,
8,2017,8,22,1335,132517,Lecythidaceae,Eschweilera,truncata,,LECY_Esctru,4058,2723,simple,ok,5,5,5,303,10,1.25,161,branch,314,87,80,71,32,145,4,trait,
8,2017,8,22,1335,132518,Euphorbiaceae,Pausandra,macropetala,,EUPH_Paumac,3850,2515,simple,ok,2,2,2,1434,138,1.25,230,branch,561,84,241,226,96,677,54,,
8,2017,8,22,1335,132520,Sapindaceae,Talisia,mollis,,SAPI_Talmol,3900,2565,compound,ok?,1,,1,936,169,1.25,211,branch,NA,NA,NA,NA,NA,515,98,,ok
8,2017,8,22,1335,132521,Lecythidaceae,Eschweilera,pedicellata,,LECY_Escped,3956,2621,simple,ok,5,5,5,399,12,1,182,branch,615,100,327,293,172,169,4,,
8,2017,8,22,1335,132527,Bignoniaceae,Tabebuia,incana,,BIGN_Tabinc,3514,2179,compound,ok?,1,,1,417,169,1,86,branch,NA,NA,NA,NA,NA,133,55,,
8,2017,8,22,1335,132528,Chrysobalanaceae,Licania,blackii,,CHRY_Licbla,4101,2766,simple,ok,5,5,5,628,20,1.5,203,branch,545,89,252,209,155,291,9,,ok
8,2017,8,24,1335,132530,Chrysobalanaceae,Parinari,montana,,CHRY_Parmon,3508,2173,simple,ok,10,10,10,374,10,1.25,183,branch,260,70,51,47,23,178,3,,ok
8,2017,8,22,1335,132531,Sapotaceae,Pouteria,hispida,1,SAPO_Pouhis-1,6913,5578,simple,ok,5,5,5,287,18,1,126,branch,345,83,95,95,NA,132,5,,yes
8,2017,8,22,1335,132532,Sapotaceae,Manilkara,bidentata,,SAPO_Manbid,6929,5594,simple,"ok, but image 003 left unnamed",5,5,5,2509,312,1,263,branch,589,87,304,277,162,1126,102,,yes
8,2017,8,22,1335,132534,Sapindaceae,Talisia,cerasina,,SAPI_Talcer,3732,2397,compound,ok?,0.5,,1,571,339,1.25,197,branch,NA,NA,NA,NA,NA,318,200,qr,
8,2017,8,22,1335,132535,Annonaceae,Bocageopsis,multiflora,,ANNO_Bocmul,3521,2186,simple,ok,15,15,15,105,5,1,128,branch,161,79,21,20,9,45,0,,ok
8,2017,8,22,1335,132541,Celastraceae,Maytenus,sp.2.FITO,,CELA_Maysp2,6747,5412,simple,ok,3,3,3,1529,39,1,211,branch,627,96,370,317,184,598,15,,ok
8,2017,8,22,1335,132552,Annonaceae,Duguetia,flagellaris,,ANNO_Dugfla,3942,2607,simple,ok,5,5,5,499,16,1,173,branch,555,93,270,252,116,229,5,,
8,2017,8,22,1335,132554,Lauraceae,Ocotea,nigrescens,,LAUR_Oconig,3602,2267,simple,ok,7,7,7,508,23,1.25,180,branch,428,81,138,117,74,238,11,,
8,2017,8,23,1335,132556,Fabaceae,Paramachaerium,ormosioides,forma A FITO,FABA_Parorm,6831,5496,compound,ok?,1,,1,122,18,1,135,branch,439,90,157,152,87,57,8,,ok
8,2017,8,23,1335,132561,Violaceae,Paypayrola,sp.nova.PP,,VIOL_Payspn,6856,5521,simple,ok,5,5,5,678,21,1,237,branch,568,94,280,245,146,231,6,,
8,2017,8,23,1335,132566,Rubiaceae,Coussarea,sp.9.FITO,,RUBI_Cousp9,4000,2665,simple,ok,4,4,4,521,38,1,171,branch,804,103,604,545,271,174,10,,
8,2017,8,23,1335,132570,Burseraceae,Protium,hebetatum,,BURS_Proheb,3746,2411,odd-pinnate,ok?,0.5,,1,590,345,1,170,branch,339,83,82,80,34,305,137,trait,
8,2017,8,23,1335,132571,Rubiaceae,Coussarea,ampla,,RUBI_Couamp,3456,2121,simple,ok,2,2,2,1390,182,1,232,branch,752,99,474,443,129,338,32,,ok
8,2017,8,23,1335,132576,Ochnaceae,Ouratea,coccinea,,OCHN_Ourcoc,3927,2592,simple,ok,5,5,5,377,11,1,190,branch,326,93,125,108,74,195,6,,
8,2017,8,23,1335,132579,Violaceae,Rinorea,amapensis,,VIOL_Rinama,4053,2718,simple,ok,5,5,5,293,8,1,167,branch,370,93,160,136,78,106,2,,
8,2017,8,22,1335,132581,Hypericaceae,Vismia,sp.A.PP,,HYPE_VisspA,4104,2769,simple,ok,2,2,2,1516,127,1.25,204,branch,644,80,296,256,173,613,32,,ok
8,2017,8,22,1335,132584,Lauraceae,Indet,sp.12.PP,,LAUR_Inds12,3754,2419,simple,ok,3,3,3,1000,97,1,222,branch,290,79,67,61,35,473,37,,ok
