trip,dd,mm,yyyy,plantID,cii,tnlc,bang,btype,lblade,phylotax,phylotax2,growth-leaves,growth-branches,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,rhf,nl,np,lhm,phm,ef,rhs,td,tl,tv,thm,ldm,pdm,ttype,tdm,QC1,scan
10,5,10,2017,240914,1,16,0,exponential,simple,alternate,spiral,?,?,1861,10,1776,-10,1654,999,270,291,207,152,75,55,3316,2,2,576,71,138,1345,NA,NA,NA,NA,234,17,NA,NA,Q,ok
10,5,10,2017,240843,1,NA,0,Horizontal,compound,alternate,in between,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3417,4,4,285,28,139,1345,355,78,84,100,135,12,NA,57,NO,ok
10,5,10,2017,240857,1.75,NA,60,vertical,compound,alternate,spiral,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3409,1,1,1180,396,175,1345,NA,NA,NA,NA,462,133,NA,NA,NO,ok
10,5,10,2017,240743,1,NA,?,?,simple,verticilate,cruzada,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3310,5,5,263,17,124,1345,NA,NA,NA,NA,82,3,NA,NA,NO,ok
10,5,10,2017,240771,1,NA,?,?,compound,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3438,2,2,993,107,190,1345,740,99,408,476,525,54,NA,302,NO,ok
10,5,10,2017,240788,1,NA,45?,?,simple,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3313,7,7,274,9,121,1345,NA,NA,NA,NA,88,3,NA,NA,NO,ok
10,5,10,2017,240799,1,NA,?,?,compound,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3325,3,3,929,149,172,1345,NA,NA,NA,NA,363,55,NA,NA,NO,ok
10,5,10,2017,240702,1,NA,?,?,simple,opposite,distic,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3321,6,6,965,33,180,1345,279,90,71,75,250,7,NA,26,NO,ok
10,5,10,2017,240715,1,NA,?,?,simple,alternate,spiral,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3301,5,5,2155,122,443,1345,NA,NA,NA,NA,478,28,NA,NA,NO,ok
10,5,10,2017,240699,1,NA,?,?,simple,opposite,distic,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3329,6,6,418,16,177,1345,236,88,50,56,111,4,NA,22,NO,ok
10,5,10,2017,240858,3,252,45,vertical,simple,opposite,cruzada,r,r?,2338,10,1893,-10,1583,999,208,227,132,-34,125,133,3354,6,6,881,73,208,1345,461,91,156,186,404,25,NA,96,YES,ok
10,5,10,2017,240870,3.5,NA,45,vertical,simple,opposite,cruzada,r?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3334,6,6,1447,62,251,1345,581,89,265,324,836,32,NA,208,NO,ok
10,5,10,2017,240876,1.25,5,NA,Without,bipinnate,alternate,spiral,r?,?,2412,10,1557,-10,914,999,116,140,120,103,118,80,3425,1,1,1377,772,119,1345,NA,NA,NA,NA,486,264,NA,NA,Q,ok
10,5,10,2017,240882,1,357,30;45,vertical,simple,opposite,distic,?,?,2453,10,1969,-10,1765,999,363,406,375,255,157,99,3452,10,10,481,15,225,1345,343,88,88,114,233,5,NA,74,YES,ok
10,5,10,2017,240929,1.75,76,0,exponential,simple,alternate,spiral,r,?,2423,10,1939,-10,1655,999,188,200,160,92,66,79,3441,6,6,2321,132,201,1345,715,90,396,421,961,28,NA,190,YES,ok
10,5,10,2017,240927,1.75,44,0;30;45,both,simple,alternate,spiral,r,?,3010,20,1858,-10,1555,999,160,203,179,150,78,85,3358,5,5,1474,91,170,1345,498,93,211,242,713,33,NA,113,YES,ok
10,5,10,2017,240506,1.25,NA,30,Horizontal,simple,alternate,spiral,r,?,3107,10,2610,-10,2416,999,446,490,423,388,133,70,3414,1,1,1313,137,234,1345,795,88,465,504,618,53,NA,227,YES,ok
10,5,10,2017,240868,2.5,NA,0;30,Horizontal,simple,alternate,distic,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3420,8,8,667,10,221,1345,393,79,99,119,330,4,NA,67,NO,ok
10,5,10,2017,240865,3,NA,?,?,simple,alternate,in between,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3401,6,6,473,18,183,1345,389,78,99,105,141,5,NA,45,NO,ok
10,7,10,2017,153598,1.25,520,45,vertical,simple,opposite,cruzada,r,r,2347,15,1922,-10,1687,999,192,241,170,185,200,147,3418,5,5,461,21,158,1500,541,93,228,271,192,7,NA,163,YES,ok
10,7,10,2017,153619,NA,NA,NA,?,?,?,?,?,?,5327,10,3248,-10,3121,999,427,468,446,404,146,94,3506,2,2,4853,1381,350,1500,656,105,332,362,1369,420,NA,148,NO,ok
10,7,10,2017,153617,1.25,NA,60,vertical,simple,alternate,spiral,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3420,5,5,1001,100,203,1500,607,99,317,356,402,32,NA,193,NO,ok
10,7,10,2017,153635,1.125,NA,30,Horizontal,simple,alternate,distic,r,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3406,15,15,603,29,170,1500,479,95,200,230,247,7,NA,131,NO,ok
10,7,10,2017,153642,1.5,63,0;30,Horizontal,simple,opposite,cruzada,r?,?,1597,10,1399,-10,1064,999,160,223,163,65,138,68,3400,6,6,2244,163,254,1500,562,73,184,217,826,48,NA,111,YES,ok
10,7,10,2017,153641,1.5,11,60,vertical,bipinnate,alternate,spiral,?,?,2187,10,1469,-10,1446,999,248,261,215,136,149,124,3250,1,1,769,246,88,1500,648,73,257,292,291,109,NA,167,?,ok
10,7,10,2017,153657,1.125,NA,60?,?,compound,alternate,spiral,?,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3311,3,3,616,74,161,1500,394,84,117,135,315,34,NA,83,NO,ok
10,7,10,2017,153836,1.125,36,45,vertical,simple,opposite,cruzada,c?,r,1694,10,980,-10,683,999,107,126,98,60,70,100,3308,5,5,2265,146,364,1500,493,75,146,145,718,40,NA,63,YES,ok
