TRIP#,Date Collected,file name,plant ID,image height (px),image width (px),Leaf id,,Area pred (cm^2),Area real (px^2),Blade length (px),Tip length (px),patiole length (px),Width (px),Have holes?,Borders are damaged?,Obs
,,21_FABASIA_03,,3507,2550,4,,98.89459416,1366642,,,,,Y,Y,SEVERE
,,21_FABASIA_04,,3507,2550,1,,76.61121378,1058704,,,,,N,N,
,,21_FABASIA_04,,3507,2550,2,,79.82298224,1103088,,,,,N,N,
,,21_FABASIA_04,,3507,2550,3,,54.04163692,746811,,,,,N,N,
,,21_FABASIA_04,,3507,2550,4,,61.85360663,854766,,,,,N,Y,SEVERE BORDER DAMAGE
,,21_FABASIA_05,,3507,2550,1,,72.43831724,1001038,,,,,Y,Y,HALF THE LEAF MISSING
,,21_FABASIA_05,,3507,2550,2,,48.31003696,667605,,,,,N,N,
,,21_FABASIA_05,,3507,2550,3,,59.600723,823633,,,,,Y,Y,MODERATE
,,21_FABASIA_05,,3507,2550,4,,109.9205032,1519011,,,,,N,N,
,,21_FABACEAE_006,,3507,2550,1,,38.48608072,531846,,,,,Y,Y,HALF THE LEAF MISSING
,,21_FABACEAE_006,,3507,2550,2,,47.68395052,658953,,,,,N,N,
,,21_FABACEAE_006,,3507,2550,3,,30.8560321,426405,,,,,N,N,
,,21_FABACEAE_006,,3507,2550,4,,55.41530763,765794,,,,,Y,Y,SEVERE 
,,22_PROTIO_001,,3507,2550,1,,41.67628494,575932,,,,,N,N,
,,22_PROTIO_001,,3507,2550,2,,32.19641573,444928,,,,,N,N,
,,22_PROTIO_001,,3507,2550,3,,36.60391378,505836,,,,,N,N,
,,22_PROTIO_001,,3507,2550,4,,44.76908829,618672,,,,,N,N,
,,22_PROTIO_001,,3507,2550,5,,44.89036902,620348,,,,,N,N,
,,22_PROTIO_001,,3507,2550,6,,52.11373643,720169,,,,,N,N,
,,22_PROTIL_02,,3507,2550,1,,43.23990906,597540,,,,,N,N,
,,22_PROTIL_02,,3507,2550,2,,56.9902204,787558,,,,,N,N,
,,22_PROTIL_02,,3507,2550,3,,33.44620064,462199,,,,,N,Y,SEVERE DAMAGE
,,22_PROTIL_02,,3507,2550,4,,34.47571194,476426,,,,,N,N,
,,22_PROTIL_02,,3507,2550,5,,45.69461367,631462,,,,,N,N,
,,22_PROTIL_02,,3507,2550,6,,46.30796419,639938,,,,,N,N,
,,22_PROTIL_03,,3507,2550,1,,31.8438622,440056,,,,,N,N,
,,22_PROTIL_03,,3507,2550,2,,39.63064952,547663,,,,,N,N,
,,22_PROTIL_03,,3507,2550,3,,36.83308805,509003,,,,,N,N,
,,22_PROTIL_03,,3507,2550,4,,45.11787894,623492,,,,,N,N,
,,22_PROTIL_03,,3507,2550,5,,45.41905459,627654,,,,,N,N,
,,22_PROTIL_03,,3507,2550,6,,40.95996158,566033,,,,,N,N,
,,22_PROTIL_04,,3507,2550,1,,41.69437574,576182,,,,,N,N,
,,22_PROTIL_04,,3507,2550,2,,43.79319812,605186,,,,,N,N,
,,22_PROTIL_04,,3507,2550,3,,40.25847268,556339,,,,,N,N,
,,22_PROTIL_04,,3507,2550,4,,43.19540569,596925,,,,,N,N,
,,22_PROTIL_04,,3507,2550,5,,39.32180337,543395,,,,,N,N,
,,22_PROTIL_04,,3507,2550,6,,36.5560817,505175,,,,,N,N,
,,22_PROTIL_05,,3507,2550,1,,42.13629783,582289,,,,,N,N,
,,22_PROTIL_05,,3507,2550,2,,35.05020342,484365,,,,,N,N,
,,22_PROTIL_05,,3507,2550,3,,26.82323073,370675,,,,,N,N,
,,22_PROTIL_05,,3507,2550,4,,52.64980305,727577,,,,,N,N,
,,22_PROTIL_05,,3507,2550,5,,35.40239514,489232,,,,,N,N,
,,22_PROTIL_05,,3507,2550,6,,42.69219197,589971,,,,,N,Y,MODERATE 
,,22_PROTIL_06,,3507,2550,1,,17.84216109,246564,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,2,,23.33669919,322494,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,3,,23.84164963,329472,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,4,,13.16185377,181886,,,,,N,N,
,,22_PROTIL_06,,3507,2550,5,,17.14942814,236991,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,6,,19.26786094,266266,,,,,N,Y,MODERATE-PINK
,,22_PROTIL_06,,3507,2550,7,,32.25510229,445739,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,8,,17.74447076,245214,,,,,N,Y,NOTIHNG LEFT OF LEAF
,,22_PROTIL_06,,3507,2550,9,,23.49698368,324709,,,,,N,Y,SEVERE DAMAGE
,07-07,09_NAUCLEOPSIS_001,,3507,2550,1,,142.9079935,1974871,,,,,N,N,
,,09_NAUCLEOPSIS_001,,3507,2550,2,,116.1275294,1604787,,,,,N,N,
,,09_NAUCLEOPSIA_02,,3507,2550,1,,91.28603742,1261498,,,,,N,Y,MODERATE TIP DAMAGE
,,09_NAUCLEOPSIA_02,,3507,2550,2,,88.04988256,1216777,,,,,N,N,
,,09_NAUCLEOPSIA_02,,3507,2550,3,,85.51840059,1181794,,,,,N,N,
,,09_NAUCLEOPSIA_03,,3507,2550,1,,84.3191252,1165221,,,,,N,Y,SEVERE DAMAGE
,,09_NAUCLEOPSIA_03,,3507,2550,2,,69.81536818,964791,,,,,N,N,
,,09_NAUCLEOPSIA_03,,3507,2550,3,,87.12406773,1203983,,,,,N,N,
,,09_NAUCLEOPSIA_05,,3507,2550,1,,124.4315689,1719542,,,,,N,N,
,,09_NAUCLEOPSIA_05,,3507,2550,2,,57.72036513,797648,,,,,N,N,
,,10_ZYZIA_001,,3507,2550,1,,33.08083882,457150,,,,,Y,N,4 LEAFLET IS MISSING
,,10_ZYZIA_001,,3507,2550,2,,10.12614498,139935,,,,,N,N,
,,10_ZYZIA_001,,3507,2550,3,,10.50286783,145141,,,,,Y,N,4 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,4,,18.13219281,250572,,,,,N,N,
,,10_ZYZIA_001,,3507,2550,5,,41.60746754,574981,,,,,Y,N,3 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,6,,9.182818254,126899,,,,,Y,N,ONE LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,7,,22.31370057,308357,,,,,Y,N,6 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,8,,35.63873336,492498,,,,,Y,N,2 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,9,,21.20212939,292996,,,,,Y,N,10 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,10,,13.04129667,180220,,,,,Y,N,17 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,11,,26.08338933,360451,,,,,Y,N,2 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,1,,30.04686675,415223,,,,,Y,N,2 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,2,,29.60950355,409179,,,,,Y,N,2 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,3,,9.118415003,126009,,,,,Y,N,1 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,4,,20.39513493,281844,,,,,Y,N,10 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,5,,25.43747537,351525,,,,,Y,N,3 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,6,,34.75894152,480340,,,,,Y,N,6 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,7,,19.95733755,275794,,,,,Y,N,5 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,8,,34.02763898,470234,,,,,N,N,
,,10_ZIZIA_02,,3507,2550,9,,40.42454624,558634,,,,,N,N,
,,10_ZIGIA_03,,3507,2550,1,,24.5451647,339194,,,,,N,N,
