TRIP#,Date Collected,file name,plant ID,image height (px),image width (px),Leaf id,,Area real (px^2),Area pred (px^2),Blade length (px),Tip length (px),patiole length (px),Width (px),Have holes?,Borders are damaged?,Obs
,,21_FABASIA_04,,3507,2550,4,,854766,,,,,,N,Y,SEVERE BORDER DAMAGE
,,21_FABASIA_05,,3507,2550,1,,1001038,,,,,,Y,Y,HALF THE LEAF MISSING
,,21_FABASIA_05,,3507,2550,2,,667605,,,,,,Y,Y,MINOR
,,21_FABASIA_05,,3507,2550,3,,823633,,,,,,Y,Y,MODERATE
,,21_FABASIA_05,,3507,2550,4,,1519011,,,,,,N,N,
,,21_FABACEAE_006,,3507,2550,1,,531846,,,,,,Y,Y,HALF THE LEAF MISSING
,,21_FABACEAE_006,,3507,2550,2,,658953,,,,,,N,Y,MINOR
,,21_FABACEAE_006,,3507,2550,3,,426405,,,,,,Y,N,MINOR
,,21_FABACEAE_006,,3507,2550,4,,765794,,,,,,Y,Y,SEVERE 
,,22_PROTIO_001,,3507,2550,1,,575932,,,,,,N,N,
,,22_PROTIO_001,,3507,2550,2,,444928,,,,,,N,N,
,,22_PROTIO_001,,3507,2550,3,,505836,,,,,,N,N,
,,22_PROTIO_001,,3507,2550,4,,618672,,,,,,N,N,
,,22_PROTIO_001,,3507,2550,5,,620348,,,,,,N,N,
,,22_PROTIO_001,,3507,2550,6,,720169,,,,,,N,Y,MINOR
,,22_PROTIL_02,,3507,2550,1,,597540,,,,,,N,N,
,,22_PROTIL_02,,3507,2550,2,,787558,,,,,,Y,Y,MINOR
,,22_PROTIL_02,,3507,2550,3,,362199,,,,,,N,Y,SEVERE DAMAGE
,,22_PROTIL_02,,3507,2550,4,,476426,,,,,,N,N,
,,22_PROTIL_02,,3507,2550,5,,631462,,,,,,N,N,
,,22_PROTIL_02,,3507,2550,6,,639938,,,,,,N,N,
,,22_PROTIL_03,,3507,2550,1,,440056,,,,,,N,N,
,,22_PROTIL_03,,3507,2550,2,,547663,,,,,,N,N,
,,22_PROTIL_03,,3507,2550,3,,509003,,,,,,N,N,
,,22_PROTIL_03,,3507,2550,4,,623492,,,,,,N,N,
,,22_PROTIL_03,,3507,2550,5,,627654,,,,,,N,N,
,,22_PROTIL_03,,3507,2550,6,,566033,,,,,,N,N,
,,22_PROTIL_04,,3507,2550,1,,576182,,,,,,N,N,
,,22_PROTIL_04,,3507,2550,2,,605186,,,,,,N,N,
,,22_PROTIL_04,,3507,2550,3,,556339,,,,,,N,N,
,,22_PROTIL_04,,3507,2550,4,,596925,,,,,,N,N,
,,22_PROTIL_04,,3507,2550,5,,543395,,,,,,N,N,
,,22_PROTIL_04,,3507,2550,6,,505175,,,,,,N,N,
,,22_PROTIL_05,,3507,2550,1,,582289,,,,,,N,N,
,,22_PROTIL_05,,3507,2550,2,,484365,,,,,,N,N,
,,22_PROTIL_05,,3507,2550,3,,370675,,,,,,N,N,
,,22_PROTIL_05,,3507,2550,4,,727577,,,,,,N,N,
,,22_PROTIL_05,,3507,2550,5,,489232,,,,,,N,N,
,,22_PROTIL_05,,3507,2550,6,,589971,,,,,,N,Y,MODERATE 
,,22_PROTIL_06,,3507,2550,1,,246564,,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,2,,322494,,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,3,,329472,,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,4,,181886,,,,,,N,Y,MINOR-PINK
,,22_PROTIL_06,,3507,2550,5,,236991,,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,6,,266266,,,,,,N,Y,MODERATE-PINK
,,22_PROTIL_06,,3507,2550,7,,445739,,,,,,N,N,PINK
,,22_PROTIL_06,,3507,2550,8,,130919,,,,,,N,Y,NOTIHNG LEFT OF LEAF
,,22_PROTIL_06,,3507,2550,9,,224709,,,,,,N,Y,SEVERE DAMAGE
,07-07,09_NAUCLEOPSIS_001,,3507,2550,1,,1974871,,,,,,Y,N,MINOR
,,09_NAUCLEOPSIS_001,,3507,2550,2,,1604787,,,,,,N,Y,MINOR
,,09_NAUCLEOPSIA_02,,3507,2550,1,,1261498,,,,,,N,Y,MODERATE TIP DAMAGE
,,09_NAUCLEOPSIA_02,,3507,2550,2,,1216777,,,,,,N,N,
,,09_NAUCLEOPSIA_02,,3507,2550,3,,1181794,,,,,,N,N,
,,09_NAUCLEOPSIA_03,,3507,2550,1,,865221,,,,,,N,Y,SEVERE DAMAGE
,,09_NAUCLEOPSIA_03,,3507,2550,2,,964791,,,,,,N,N,
,,09_NAUCLEOPSIA_03,,3507,2550,3,,1203983,,,,,,N,N,
,,09_NAUCLEOPSIA_05,,3507,2550,1,,1719542,,,,,,N,N,
,,09_NAUCLEOPSIA_05,,3507,2550,2,,797648,,,,,,N,N,
,,10_ZYZIA_001,,3507,2550,1,,457150,,,,,,Y,N,4 LEAFLET IS MISSING
,,10_ZYZIA_001,,3507,2550,2,,139935,,,,,,N,N,
,,10_ZYZIA_001,,3507,2550,3,,145141,,,,,,Y,N,4 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,4,,250572,,,,,,N,N,
,,10_ZYZIA_001,,3507,2550,5,,574981,,,,,,Y,N,3 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,6,,126899,,,,,,Y,N,ONE LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,7,,308357,,,,,,Y,N,6 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,8,,492498,,,,,,Y,N,2 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,9,,292996,,,,,,Y,N,10 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,10,,180220,,,,,,Y,N,17 LEAFLET MISSING
,,10_ZYZIA_001,,3507,2550,11,,360451,,,,,,Y,N,2 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,1,,415223,,,,,,Y,N,2 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,2,,409179,,,,,,Y,N,2 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,3,,126009,,,,,,Y,N,1 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,4,,281844,,,,,,Y,N,10 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,5,,351525,,,,,,Y,N,3 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,6,,480340,,,,,,Y,N,6 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,7,,275794,,,,,,Y,N,5 LEAFLET MISSING
,,10_ZIZIA_02,,3507,2550,8,,470234,,,,,,N,N,
,,10_ZIZIA_02,,3507,2550,9,,558634,,,,,,N,N,
,,10_ZIGIA_03,,3507,2550,1,,339194,,,,,,N,N,
,,10_ZIGIA_03,,3507,2550,2,,138021,,,,,,Y,N,2 LEAFLET MISSING
,,11_ESCHOELERA_001,,3507,2550,1,,568806,,,,,,Y,Y,SEVERE DAMAGE
,,11_ESCHOELERA_001,,3507,2550,2,,540923,,,,,,N,N,
,,11_ESCHOELERA_001,,3507,2550,3,,715896,,,,,,Y,N,MINOR HOLES
,,11_ESCHOELERA_001,,3507,2550,4,,514578,,,,,,N,N,
,,11_ESCHOELERA_001,,3507,2550,5,,965079,,,,,,Y,Y,MODERATE DAMAGE
,,11_ESCHOELERA_001,,3507,2550,6,,677108,,,,,,Y,Y,MODERATE DAMAGE
,,14_MANILKARE_001,,3507,2550,1,,2180399,,,,,,N,N,
,,14_MANILKARE_001,,3507,2550,2,,1642173,,,,,,N,N,
,,14_MANILKARE_02,,3507,2550,1,,2149671,,,,,,N,N,
,,14_MANILKARE_02,,3507,2550,2,,2418267,,,,,,N,N,
,,14_MANILKARE_03,,3507,2550,1,,1309709,,,,,,N,N,
,,14_MANILKARE_03,,3507,2550,2,,2300531,,,,,,N,N,
,,15_HERIETELA_001,,3507,2550,1,,992729,,,,,,N,Y,HALF MISSING
,,15_HERIETELA_001,,3507,2550,2,,1324606,,,,,,N,N,
,,15_HERIETELA_001,,3507,2550,3,,1664707,,,,,,N,N,
,,15_HERIETELA_001,,3507,2550,4,,86869,,,,,,N,N,YOUNG TINY LEAVES
,,15_HERIETELA_001,,3507,2550,5,,67450,,,,,,N,N,YOUNG TINY LEAVES
,,15_HERIATELLA_02,,3507,2550,1,,874598,,,,,,Y,Y,MODERATE TIP DAMAGE
,,15_HERIATELLA_02,,3507,2550,2,,1409213,,,,,,Y,N,MINOR
,,15_HERIATELLA_04,,3507,2550,1,,809687,,,,,,N,N,
,,15_HERIATELLA_04,,3507,2550,2,,2047056,,,,,,N,N,
,,16_HIRTELLA_001,,3507,2550,1,,1569661,,,,,,N,N,BROWN PATCH
,,16_HIRTELLA_001,,3507,2550,2,,1554991,,,,,,N,N,
,,16_HIRTELLA_02,,3507,2550,1,,1572015,,,,,,N,N,
,,16_HIRTELLA_02,,3507,2550,2,,1415261,,,,,,N,N,BROWN PATCH
,,16_HIRTELLA_03,,3507,2550,1,,1691850,,,,,,N,N,
,,16_HIRTELLA_03,,3507,2550,2,,1704467,,,,,,N,N,
,,16_HIRTELLA_04,,3507,2550,1,,1392401,,,,,,N,N,BROWN PATCH
,,17_OURATEA_001,,3507,2550,1,,1935514,,,,,,N,N,
,,17_OURATEA_001,,3507,2550,2,,446916,,,,,,N,Y,MINOR TIP DAMAGE
,,17_OURATEA_001,,3507,2550,3,,1693215,,,,,,N,N,
