"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","cd1","cd2","cpa","ldm","sp","dbh0","larea","aldm"
122049,10,10,6,2.566,290,1,10,"simple",200,160,25132.7412287183,1.46,"Brosimum rubescens",23,26.2194610427202,0.146
121957,10,10,6,1.403,396,1,15,"simple",171,100,13430.3085940964,1.78,"Brosimum sp.1.PP",14,22.6817342099849,0.118666666666667
122518,9,9,14,1.496,66,1.25,5,"simple",152,92,10983.0079169499,2.51,"Brosimum sp.3.FITO",10,81.0625058573039,0.502
113384,9,9,15,2.805,125,1,15,"simple",163,161,20611.2040020392,1.54,"Buchenavia congesta",29,24.1450057745101,0.102666666666667
113050,9,9,22,2.123,232,1,15,"simple",269,90,19014.4895358522,2.95,"Calyptranthes cuspidata",21,26.4335644667379,0.196666666666667
132921,10,10,7,1.422,186,1,11,"simple",108,89,7549.24714657627,5.76,"Calyptranthes paniculata",10,41.243546313218,0.523636363636364
100691,8,8,19,1.719,408,1,5,"simple",106,115,9574.00361181489,1.65,"Casearia javitensis",13,52.233396113213,0.33
122559,9,9,14,1.117,48,1,5,"simple",107,78,6554.9330717151,1.68,"Casearia javitensis",12,39.0061405121069,0.336
122758,9,9,15,3.75,264,1.5,6,"simple",203,231,36829.6760761965,4.04,"Casearia javitensis",28,107.84634441339,0.673333333333333
142643,10,10,7,2.509,30,1.25,16,"simple",184,58,8381.76919977757,1.49,"Casearia sylvestris",21,20.442464948836,0.093125
142743,10,10,7,1.2,44,1,20,"simple",112,95,8356.63645854885,1.43,"Casearia sylvestris",10,14.5635868908478,0.0715
113328,9,9,15,2.039,7,1.25,2,"simple",69,77,4172.82044213064,6.12,"Chimarrhis sp.A.PP",19,488.458574406252,3.06
142667,10,10,7,1.616,55,1.5,2,"simple",94,136,10040.530120873,7.16,"Chromolucuma rubriflora",14,622.278364265346,3.58
113571,9,9,14,2.37,31,1,2,"simple",190,137,20443.9141932356,9.13,"Chrysophyllum amazonicum",20,412.778602867453,4.565
113158,9,9,22,1.534,48,1.75,2,"simple",86,110,7429.86662573986,2.49,"Chrysophyllum manaosense",16,190.636193721574,1.245
133208,10,10,7,2.32,99,1.5,2,"simple",160,176,22116.8122812721,3.47,"Chrysophyllum manaosense",16,514.8980991889,1.735
113580,9,9,14,2.829,300,1,5,"simple",167,146,19149.5780199566,3.57,"Chrysophyllum pomiferum",25,74.7596997272348,0.714
111798,8,8,16,1.484,174,1,10,"simple",124,110,10712.8309487412,1.7,"Chrysophyllum sparsiflorum",15,29.8329031658043,0.17
230303,6,7,26,1.44,110,2,12,"simple",125,118,11584.6229101124,2.3,"Chrysophyllum sparsiflorum",10,31.6213452819958,0.191666666666667
90658,8,8,20,1.619,135,1.25,5,"simple",114,155,13877.9855472329,2.1,"Compsoneura ulei",14,55.6239306224496,0.42
202662,10,10,4,2.683,66,1.25,3,"simple",207,94,15282.2774633875,8.72,"Conceveiba guianensis",13,406.132886810104,2.90666666666667
240025,6,7,21,2.034,121.5,1,1,"odd-pinnate",155,200,24347.3430653209,1.92,"Connarus erianthus",18,28.7158179117836,1.92
173561,10,10,4,0.624,49,1,7,"simple",109,78,6677.4551852051,3.57,"Cordia nodosa",10,102.357245628451,0.51
242315,10,10,5,1.732,18,1,2,"simple",67,60,3157.30061685774,5.15,"Cordia trachyphylla",27,303.67685334755,2.575
120579,8,8,16,1.895,630,1,10,"simple",131,184,18931.2373305321,2.24,"Cordiera myrciifolia",12,25.2078089770438,0.224
100486,8,8,18,1.893,98,1.5,5,"simple",208,219,35776.4571390806,4.22,"Corythophora alta",19,117.731879310625,0.844
112976,9,9,22,2.548,231,1,5,"simple",194,173,26359.5331599452,2.43,"Couepia guianensis",27,74.009235410364,0.486
122658,9,9,14,1.8,142.5,1,7,"simple",147,103,11891.7135920008,1.73,"Couepia guianensis",17,37.0741091238199,0.247142857142857
220342,7,8,2,1.901,160,1,7,"simple",174,176,24052.0333558835,3.04,"Couepia longipendula",15,49.6659062145392,0.434285714285714
111776,8,8,16,1.233,196,1,10,"simple",145,70,7971.7913584841,0.99,"Couepia obovata",11,20.6429209740776,0.099
132571,8,8,23,1.886,33,1,2,"simple",156,125,15315.2641862502,3.38,"Coussarea ampla",17,272.511323888053,1.69
113617,9,9,14,2.008,432,1,10,"simple",146,147,16856.215382836,2.2,"Coussarea sp.1.FITO",18,31.2588924654009,0.22
113116,9,9,22,2.002,217.5,1,5,"simple",167,130,17050.9941273586,1.75,"Coussarea sp.6.FITO",18,46.2644159162048,0.35
113213,9,9,15,2.111,440,1,10,"simple",174,171,23368.7369537277,2.65,"Coussarea sp.6.FITO",20,32.7010477047888,0.265
132566,8,8,23,3.358,399,1,4,"simple",248,220,42851.3237949648,1.74,"Coussarea sp.9.FITO",28,73.9859851128931,0.435
230379,6,7,26,1.827,115.5,1.5,5,"simple",132,49,5079.9553208547,3.11,"Coussarea sp.9.FITO",10,101.375986108488,0.622
90685,8,8,20,1.078,6,1,0.5,"compound",91,63,4502.68767075757,2.02,"Cupania hispida",10,81.4745093778924,4.04
220889,7,8,5,0.976,4,1.75,1,"compound",101,77,6108.04151674196,5.66,"Cupania hispida",10,132.199799978159,5.66
120771,8,8,16,1.898,13,1.75,0.5,"compound",126,91,9005.37534151514,4.2,"Cupania sp.1/rubiginosa/scrobicula.PFRD",13,113.094888611114,8.4
211103,7,8,5,2.315,26,1.5,1,"compound",150,115,13548.118318606,6.07,"Cupania sp.1/rubiginosa/scrobicula.PFRD",17,90.6410567459778,6.07
220582,7,8,3,2.088,15,1.25,1,"compound",151,105,12452.4878806665,3.9,"Cupania sp.1/rubiginosa/scrobicula.PFRD",18,42.0847699703185,3.9
111675,8,8,16,1.77,61,1,4,"simple",119,104,9720.08767020682,8.72,"Cybianthus amplus",15,188.160564086266,2.18
112918,9,9,22,1.627,7,1,1,"compound",63,93,4601.64783934565,3.68,"Derris negrensis",17,109.763824595097,3.68
153641,10,10,7,1.469,11,1.5,1,"bipinnate",149,124,14511.0164669313,2.91,"Dimorphandra parviflora",13,1.75810235305035,2.91
113287,9,9,15,2.372,52,1,6,"simple",234,44,8086.45949034013,7.29,"Diospyros tarim/guianensis.FITO",23,138.273769191273,1.215
220667,7,8,3,1.64,7,1,1,"compound",74,51,2964.09266866197,4.86,"Dipteryx odorata",16,96.3672457297375,4.86
220507,7,8,3,1.743,90,1,5,"simple",88,87,6013.00833897086,3.07,"Drypetes variabilis",18,75.6653975894976,0.614
100725,8,8,17,2.458,1530,1.5,15,"simple",190,218,32531.1919279223,0.75,"Duckesia verrucosa",18,10.7282012544507,0.05
230434,6,7,26,1.405,90,1,5,"simple",157,134,16523.2065615555,6.01,"Duguetia asterotricha",10,126.336790524726,1.202
90864,8,8,20,1.267,63,1,5,"simple",78,74,4533.31819913007,3.08,"Duguetia calycina",11,64.7148041698686,0.616
100504,8,8,18,1.221,90,1,5,"simple",56,60,2638.93782901543,3.11,"Duguetia calycina",10,68.0935868947627,0.622
220556,7,8,3,2.344,480,1,7,"simple",194,219,33368.426370104,1.63,"Duguetia chrysea",20,36.6017014523858,0.232857142857143
132784,8,8,23,2.247,441,1.25,6,"simple",161,131,16564.8326642156,1.21,"Duguetia echinophora",21,35.684888946563,0.201666666666667
90678,8,8,20,1.938,162,1,5,"simple",103,132,10678.2734295517,1.99,"Duguetia flagellaris",18,54.624088231679,0.398
132552,8,8,22,1.647,264,1,5,"simple",108,176,14928.8482898587,2.29,"Duguetia flagellaris",16,62.4400523769792,0.458
132767,8,8,22,3.886,580,1.25,5,"simple",199,226,35322.4970006368,2.21,"Duguetia flagellaris",38,61.3250801285176,0.442
132829,8,8,23,1.668,52.5,1.5,5,"simple",106,140,11655.3087448181,3.21,"Duguetia flagellaris",16,73.8564911591923,0.642
153713,10,10,7,1.11,200,1.25,5,"simple",120,116,10932.7424344925,3.75,"Duguetia flagellaris",10,92.0980102606001,0.75
173548,10,10,4,1.906,210,1,5,"simple",159,140,17482.9631172272,3.95,"Duguetia flagellaris",18,101.444441699547,0.79
220042,7,8,2,1.638,180,1,5,"simple",121,113,10738.7490881333,2.46,"Duguetia flagellaris",13,69.6116945531528,0.492
230031,6,7,24,2.045,204,1,4,"simple",187,102,14980.6845686429,4.04,"Duguetia flagellaris",15,126.088125228386,1.01
230332,6,7,26,1.164,82.5,1.5,4,"simple",108,65,5513.49510705009,2.15,"Duguetia flagellaris",10,72.425237436499,0.5375
240015,6,7,21,1.555,152,1,5,"simple",155,114,13877.9855472329,2.75,"Duguetia flagellaris",12,80.2686091453444,0.55
230394,6,7,26,2.122,100,1.5,5,"simple",164,242,31170.8823089179,4.98,"Duguetia guianensis",16,150.61945041025,0.996
132691,8,8,23,1.64,110,1,5,"simple",109,179,15323.9035660476,2.4,"Duguetia stelechantha",12,59.1895840855594,0.48
210505,7,8,2,1.156,270,1,10,"simple",87,107,7311.27150306685,1.16,"Duguetia surinamensis",10,16.8524495085327,0.116
120776,8,8,16,1.847,8,1,2,"simple",79,48,2978.22983560312,6.7,"Duroia macrophylla",16,384.643825302828,3.35
230314,6,7,26,1.165,84,2,8,"simple",111,101,8805.09880984879,3.77,"Duroia sp.2.FITO",14,73.8733517857429,0.47125
220493,7,8,3,2.672,45,1.5,2,"simple",87,115,7857.90862479147,9.74,"Dystovomita brasiliensis",25,328.05236246023,4.87
122238,10,10,6,2.1,40.5,1,5,"simple",87,133,9087.84214867187,6.28,"Endlicheria bracteata",22,371.527263695003,1.256
132826,8,8,23,1.463,114,1.25,6,"simple",96,108,8143.00815810474,3.31,"Endlicheria sp.2.PP",14,60.5210019137441,0.551666666666667
230554,7,8,3,1.233,105,1.75,4,"simple",139,105,11462.8861947858,2.2,"Endlicheria sprucei",10,86.8542794220012,0.55
220923,7,8,5,2.719,240,1,5,"simple",192,103,15532.0340793479,4.73,"Endopleura uchi",27,125.552952298133,0.946
90821,8,8,19,1.55,10,1,1,"compound",80,69,4335.39786195391,2.31,"Eperua glabriflora",14,67.5036892914245,2.31
100773,8,8,18,2.177,30,1,1,"compound",220,194,33520.7936138031,3.78,"Eperua glabriflora",18,106.648455993587,3.78
230397,6,7,26,1.462,14,1.5,2,"compound",90,53,3746.34923940583,7.3,"Eperua glabriflora",15,127.900570219371,3.65
220578,7,8,3,1.496,41,1,3,"simple",60,98,4618.141200777,3.26,"Erythroxylum macrophyllum",13,120.758943094196,1.08666666666667
220782,7,8,5,1.097,200,1.5,20,"simple",56,68,2990.79620621748,1.22,"Eschweilera amazoniciformis",11,7.02536719544672,0.061
