"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","ldm","sp","dbh0"
113146,9,9,22,1405,35,1.25,5,"simple",314,"Helianthostylis sprucei",14
173638,10,10,4,2311,224,1,5,"simple",243,"Hirtella duckei",23
202703,10,10,4,1293,63,1,5,"simple",313,"Hirtella duckei/myrmecophila.FITO",13
90373,8,8,19,2029,168,2.5,5,"simple",315,"Hirtella obidensis",17
242543,10,10,5,1921,18,2,2,"compound",519,"Hymenolobium nitidum",12
90973,8,8,20,1942,442,1,5,"simple",180,"Indet sp.2.FITO",18
202813,10,10,4,2293,40,1.5,0.5,"compound",262,"Inga grandiflora",21
202734,10,10,4,2262,805,1,5,"simple",187,"Inga lateriflora",16
122353,10,10,6,1215,60,1,2,"compound",183,"Inga obidensis",12
230052,6,7,24,1491,20,1,3,"even-pinnate",434,"Inga paraensis",12
112940,9,9,22,3140,180,1,4,"bifoliolate",294,"Inga sp.11.FITO",16
122513,9,9,14,2257,90,1.25,3,"compound",363,"Inga sp.11.FITO",18
173785,10,10,4,2033,276,1.125,4,"compound",284,"Inga sp.11.FITO",16
90835,8,8,19,2034,6,1.25,0.5,"even-pinnate",580,"Inga sp.30.FITO",19
242443,10,10,5,1156,4,1,0.5,"compound",365,"Inga sp.31.FITO",11
90700,8,8,20,1619,110,1,5,"simple",147,"Iryanthera juruensis",16
122538,9,9,14,1086,32,1,5,"simple",904,"Ixora intensa",11
122566,9,9,14,1587,50,1,5,"simple",371,"Ixora intensa",16
100641,8,8,18,1739,22,1,2,"simple",595,"Ixora ulei",17
240774,10,10,5,2463,85,1,6,"simple",371,"Kutchubaea insignis",25
132606,8,8,24,2007,23,1.25,2,"simple",1219,"Kutchubaea sericantha",18
172373,10,10,4,1468,128,1.25,8,"simple",235,"Lacistema aggregatum/polystachyum PP",12
230387,6,7,26,1778,36,1.5,6,"simple",450,"Lacistema sp.1.FITO",16
113206,9,9,15,1773,128,1,6,"???",360,"Lacunaria jenmanii",21
173582,10,10,4,2900,483,1.125,10,"simple",193,"Lecythis pisonis",29
